Species name,Soil Temperature1,Soil Temperature2,PH of Soil1,PH of Soil2,moisture1,moisture2,N1,N2,P1,P2,K1,K2
,,,,,,,,,,,,
Apple,65,75,6,7,20,60,10,30,125,140,195,205
Blueberry,35,55,4,5.5,20,40,30,60,20,40,100,200
Cherry,40,70,6,7,10,45,6,22,3,15,7,14
Corn,60,95,5.8,6.8,75,100,68,92,44,56,16,23
Grape,50,80,5.5,7,60,80,18,26,120,140,190,210
Orange,60,80,5.5,7.5,20,40,15,25,13,20,8,12
Peach,60,80,5.8,7.3,40,60,30,60,20,40,100,200
Pepper_bell,65,85,6,7,50,70,30,60,20,40,100,200
Potato,55,70,4.5,6.5,60,80,30,60,20,40,100,200
Raspberry,65,80,5.5,6.5,15,30,30,60,20,40,100,200
Soybean,65,85,6,7,20,40,30,60,20,40,100,200
Squash,60,85,5.5,7,10,45,30,60,20,40,100,200
Strawberry,30,40,5.5,6.5,50,100,30,60,20,40,100,200
Tomato,65,75,6,7,40,80,30,60,20,40,100,200
